start,goal,length,capacity,street,n_direction,hodou,width,cross_node,from_,to_
1,410,135.774,230.0,市道1251号線,2,1,4.1,0,1,71
1,986,118.614,1501.222537,市道1251号線,2,1,5.903825855,0,1,179
1,942,293.052,1703.398991,市道1229号線,2,1,7.354147046,0,1,168
2,75,73.199,1750.0,市道8号線_1,2,0,10.0,1,2,10
2,1355,96.731,1375.0,市道8号線_2,2,0,8.0,1,2,255
2,982,163.315,1750.0,市道9号線_1,2,0,10.1,1,2,177
8,266,75.219,1750.0,市道1311号線,2,0,6.7,0,3,58
8,1355,129.005,1750.0,市道8号線_3,2,0,15.0,1,3,255
8,604,228.252,1645.0,市道8号線_3,2,0,6.0,1,3,101
8,313,140.489,1582.0,市道1324号線,2,0,5.7,0,3,63
634,983,16.909,1750.0,県道15号線_10,2,0,7.0,1,105,178
10,784,105.621,1669.0,市道1283号線,2,1,7.6,1,4,144
10,196,518.341,1750.0,市道16号線_2,2,0,6.023064967,1,4,34
37,1211,41.58,1669.0,市道1221号線,2,1,6.7,0,5,225
37,1184,2.54,1669.0,市道1221号線,2,1,6.7,0,5,217
37,995,136.481,1063.0,市道1223号線,1,1,2.8,0,5,184
47,1009,128.738,1488.0,市道1430号線,2,1,5.6,0,6,194
47,829,192.93,1509.0,市道1440号線,2,1,5.7,0,6,154
47,831,239.942,1509.0,市道1440号線,2,1,5.7,0,6,155
61,221,13.983,1750.0,初雁城通り_1,2,0,9.0,1,7,46
61,227,57.97,1750.0,初雁城通り_1,2,0,9.0,1,7,48
61,229,88.684,1750.0,市道1546号線,2,0,10.0,0,7,50
70,437,94.139,1750.0,市道8号線_1,2,0,10.0,1,8,76
70,74,102.381,1750.0,市道8号線_1,2,0,10.0,1,8,9
74,75,66.059,1750.0,市道8号線_1,2,0,10.0,1,9,10
74,70,102.381,1750.0,市道8号線_1,2,0,10.0,1,9,8
75,74,66.059,1750.0,市道8号線_1,2,0,10.0,1,10,9
75,2,73.199,1750.0,市道8号線_1,2,0,10.0,1,10,2
90,185,81.746,1750.0,市道1646号線,2,0,7.0,0,11,32
90,314,80.076,1192.0,市道1317号線,1,1,3.6,0,11,64
95,434,50.34,1750.0,市道6号線_3,2,1,11.0,1,12,74
95,1215,126.476,1669.0,県道39号線_1,2,1,8.0,1,12,227
95,1254,180.99,1750.0,市道6号線_2,2,0,9.954072601,1,12,237
96,259,59.911,1750.0,市道1319号線,2,0,10.0,0,13,57
96,174,68.559,1669.0,市道1311号線,2,1,7.1,0,13,30
96,1434,75.922,1669.0,市道1311号線,2,1,7.3,0,13,267
97,1064,136.897,1669.0,県道246号線_2,2,1,7.5,1,14,195
97,604,133.395,1669.0,県道246号線_1,2,1,7.5,1,14,101
98,1280,125.112,1750.0,県道229号線_1,2,0,10.1,1,15,245
98,176,55.862,1750.0,市道1319号線,2,0,10.0,0,15,31
98,232,64.685,1750.0,市道3号線_1,2,0,10.0,1,15,53
98,550,211.434,1857.75171,市道9号線_1,2,0,10.1,1,15,94
752,983,59.627,1750.0,県道15号線_10,2,0,10.0,1,130,178
983,634,16.909,1750.0,県道15号線_10,2,0,7.0,1,178,105
102,103,78.66,1669.0,市道1200号線,1,1,7.2,0,16,17
102,1353,51.163,1669.0,市道1311号線,2,1,7.2,0,16,254
103,680,118.076,1669.0,市道1200号線,1,1,7.2,0,17,112
106,762,38.062,1669.0,本町通り,2,1,10.9,1,18,138
