n,y,x,osmid,highway,ref,node_id
1,35.9203939,139.4964865,2297651205,,,1
2,35.9111654,139.4801053,410400273,traffic_signals,,2
8,35.9129409,139.4788967,410400274,,,3
10,35.9183961,139.4777763,410400276,traffic_signals,,4
37,35.9207901,139.4856735,2291171475,,,5
47,35.9142608,139.4895899,434438374,,,6
61,35.9259954,139.4931097,1347502324,,,7
70,35.9093974,139.4816635,434561347,,,8
74,35.910159,139.4810249,434561351,,,9
75,35.9106277,139.4805742,434561352,,,10
90,35.9142343,139.4806342,4071285103,,,11
95,35.9092829,139.4863667,404005328,traffic_signals,,12
96,35.9159624,139.4807341,404005332,traffic_signals,,13
97,35.9155617,139.4770601,7608287702,,,14
98,35.9154742,139.4824832,404005335,traffic_signals,,15
102,35.9181997,139.4808219,404005341,traffic_signals,,16
103,35.9189071,139.480825,404005344,,,17
106,35.9249554,139.4835279,6388605423,,,18
110,35.928874,139.4827592,404005380,,,19
115,35.9282043,139.4887463,404005423,,,20
116,35.9277289,139.4898911,404005431,,,21
117,35.9275635,139.4902513,404005436,,,22
122,35.9261772,139.4884115,404005464,,,23
125,35.9218823,139.4883954,404005499,,,24
126,35.9201313,139.4885218,404005503,,,25
127,35.9200891,139.4892361,404005504,,,26
150,35.9261016,139.4893658,2293146445,,,27
153,35.9263198,139.4904545,2293146452,,,28
154,35.9273976,139.4900229,2293146462,,,29
174,35.9153842,139.4805032,3476251544,,,30
176,35.9156908,139.4819235,2289197978,,,31
185,35.91427,139.4797284,410166195,,,32
195,35.9195662,139.4768938,412812294,,,33
196,35.9209712,139.4755299,412812286,traffic_signals,,34
197,35.9211149,139.4827291,412812287,traffic_signals,,35
198,35.9210955,139.4796639,412812288,traffic_signals,,36
201,35.919262,139.4786315,412812292,,,37
204,35.9193635,139.4780163,412812293,,,38
205,35.9194969,139.4827833,412812296,traffic_signals,,39
206,35.91966,139.4836562,412812297,,,40
207,35.9200803,139.4852748,412812298,,,41
210,35.9165707,139.483292,412812299,,,42
211,35.921118,139.4832925,412812304,,,43
214,35.9208048,139.4884375,412812308,,,44
220,35.9286899,139.4912589,412812366,traffic_signals,,45
221,35.9260513,139.4932488,412812369,traffic_signals,,46
225,35.9185561,139.4981196,2293204066,,,47
227,35.925741,139.4925478,412812389,,,48
228,35.9267707,139.4927245,412812390,,,49
229,35.9266194,139.4924969,412812394,,,50
230,35.9263745,139.492274,412812395,,,51
231,35.9265689,139.4924319,412812396,,,52
232,35.9154817,139.4831963,412812300,,,53
237,35.9272898,139.4833883,402932914,traffic_signals,,54
256,35.9272161,139.4894898,402933024,,,55
257,35.9272468,139.4884485,402933029,traffic_signals,,56
259,35.9158908,139.4813901,427222319,,,57
266,35.9135526,139.479223,427222333,,,58
270,35.9166186,139.4817358,427222341,,,59
271,35.9252871,139.4801226,402933066,traffic_signals,,60
277,35.9227702,139.475366,402933091,traffic_signals,,61
280,35.9211052,139.4772782,430024046,,,62
313,35.9129741,139.4804561,1334036066,,,63
314,35.9135788,139.4804869,1334036068,,,64
359,35.9204491,139.4834225,2292008685,,,65
379,35.9292669,139.4868581,601843540,,,66
382,35.9292025,139.4908621,601843550,,,67
383,35.9302057,139.4888676,601843546,,,68
402,35.9247651,139.4858161,7457212309,,,69
409,35.9231105,139.4946127,427182004,,,70
410,35.9214663,139.4957661,427182009,,,71
411,35.918738,139.4976441,427182014,,,72
415,35.9232082,139.4948395,427182026,,,73
434,35.9093585,139.4869178,402778182,,,74
436,35.908849,139.4832424,402778184,,,75
437,35.9086996,139.4822484,402778186,traffic_signals,,76
440,35.9254432,139.4887819,726927463,,,77
444,35.9181103,139.4820519,1035626769,,,78
458,35.9109753,139.4902119,453757365,,,79
464,35.9178579,139.4923518,453757378,,,80
466,35.9123119,139.4913433,453757376,,,81
470,35.9178595,139.4920675,426756615,,,82
473,35.9178928,139.4905201,426756618,,,83
508,35.9104934,139.4903175,2291952575,,,84
516,35.9255571,139.4859076,7457197091,,,85
523,35.9228952,139.4891137,243887177,,,86
529,35.9108192,139.4888756,440069206,,,87
535,35.9190281,139.4880937,440069212,,,88
538,35.9186783,139.4881174,440069214,,,89
541,35.917975,139.4876399,440069216,,,90
546,35.9201083,139.4903816,243887211,,,91
547,35.9186892,139.489428,243887213,,,92
549,35.9234264,139.4829112,243887217,traffic_signals,,93
550,35.9136806,139.4817728,243887219,,,94
562,35.9198695,139.4918893,402795777,,,95
563,35.9193203,139.4865371,402795794,traffic_signals,,96
