o,d,flow,demand_type,origin,destination
10437,11166,1030.555556,ww,349,481
10604,11166,125.1388889,ww,374,481
10550,11166,316.5277778,ww,367,481
10437,10979,100.0,ww,349,448
10437,11346,103.0555556,ww,349,525
10604,11346,12.51388889,ww,374,525
10550,11346,31.65277778,ww,367,525
95,11166,217.5925926,aw,12,481
110,11166,326.3888889,aw,19,481
645,11166,217.5925926,aw,107,481
382,11166,217.5925926,aw,67,481
10,11166,326.3888889,aw,4,481
645,10979,100.0,aw,107,448
95,11346,21.75925926,aw,12,525
110,11346,32.63888889,aw,19,525
645,11346,21.75925926,aw,107,525
382,11346,21.75925926,aw,67,525
10,11346,32.63888889,aw,4,525
95,382,3000.0,aa,12,67
10,382,100000.0,aa,4,67
645,382,160000.0,aa,107,67
95,110,10000.0,aa,12,19
645,110,5000.0,aa,107,19
382,645,160000.0,aa,67,107
382,10,0.0,aa,67,4
10,645,25000.0,aa,4,107
645,10,10000.0,aa,107,4
2,110,12000.0,aa,2,19
110,2,5000.0,aa,19,2
110,95,5000.0,aa,19,12
2,271,60000.0,aa,2,60
95,271,0.0,,12,60
271,645,10000.0,,60,107
271,95,10000.0,,60,12
2,645,100000.0,,2,107
645,2,90000.0,,107,2
221,2,50000.0,,46,2
95,221,40000.0,,12,46
2,382,10000.0,,2,67
382,2,10000.0,,67,2
769,1206,12000.0,,143,224
1206,769,12000.0,,224,143
1206,1231,9000.0,,224,233
1231,1206,10000.0,,233,224
